"","alpha_1","beta_w1_1","beta_w2_1","beta_ta1_1","beta_ta2_1","beta_Ec1_1","beta_Ec2_1","beta_wta_1","beta_wEc_1","beta_taEc_1","alpha_2","beta_w1_2","beta_w2_2","beta_ta1_2","beta_ta2_2","beta_Ec1_2","beta_Ec2_2","beta_wta_2","beta_wEc_2","beta_taEc_2","alpha_3","beta_w1_3","beta_w2_3","beta_ta1_3","beta_ta2_3","beta_Ec1_3","beta_Ec2_3","beta_wta_3","beta_wEc_3","beta_taEc_3","alpha_4","beta_w1_4","beta_w2_4","beta_ta1_4","beta_ta2_4","beta_Ec1_4","beta_Ec2_4","beta_wta_4","beta_wEc_4","beta_taEc_4","sigma_1","sigma_2","sigma_3","sigma_4","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","asc_3","x_female_3","x_mayor45_3","x_underage_in_household_3","x_only_worker_3","x_university_3","x_metropolitana_3","asc_4","x_female_4","x_mayor45_4","x_underage_in_household_4","x_only_worker_4","x_university_4","x_metropolitana_4"
"alpha_1",-214.640749618411,18.1898940354586,-6000.84604229778,-860.38198787719,-40878.148865886,-482.032191939652,-1176744.26292069,200.088834390044,-59515.5142946169,-17962.5203600153,0,1.81898940354586,50.931703299284,7.27595761418343,61.8456397205591,18.1898940354586,-3818.05875804275,-27.2848410531878,83.6735125631094,-50.931703299284,0,-1.81898940354586,-10.9139364212751,-12.732925824821,-225.554686039686,-116.415321826935,-12989.403330721,-3.63797880709171,-318.323145620525,-365.616870112717,-1.81898940354586,1.81898940354586,-1.81898940354586,7.27595761418343,67.3026079311967,43.6557456851006,-2130.0365915522,-20.0088834390044,-87.3114913702011,-214.640749618411,5.45696821063757,0,-1.81898940354586,0,-5.45696821063757,0,-3.63797880709171,-3.63797880709171,-3.63797880709171,1.81898940354586,0,7.27595761418343,7.27595761418343,1.81898940354586,3.63797880709171,3.63797880709171,5.45696821063757,3.63797880709171,-5.45696821063757,1.81898940354586,-1.81898940354586,-5.45696821063757,-1.81898940354586,0,0
"beta_w1_1",18.1898940354586,-6000.84604229778,-309906.681650318,200.088834390044,-3012.24645227194,-59457.3066337034,-28421818.5697682,-29272.9964712635,-2662938.64115141,-413121.597375721,0,49.1127138957381,3294.18980982155,-29.1038304567337,-214.640749618411,80.0355337560177,75504.431151785,1.81898940354586,19172.1483133733,-511.136022396386,-3.63797880709171,-12.732925824821,-87.3114913702011,-5.45696821063757,-769.432517699897,-320.142135024071,-61823.8118477166,-132.786226458848,-2239.17595576495,-3625.24588126689,0,-3.63797880709171,7.27595761418343,-21.8278728425503,-34.5607986673713,-87.3114913702011,1507.94221553952,3.63797880709171,109.139364212751,9.09494701772928,-36.3797880709171,-3.63797880709171,-1.81898940354586,0,3.63797880709171,3.63797880709171,3.63797880709171,7.27595761418343,-10.9139364212751,1.81898940354586,-3.63797880709171,-5.45696821063757,-3.63797880709171,-5.45696821063757,1.81898940354586,3.63797880709171,1.81898940354586,-9.09494701772928,9.09494701772928,0,3.63797880709171,5.45696821063757,1.81898940354586,0,-3.63797880709171
"beta_w2_1",-6000.84604229778,-309906.681650318,-20571222.1941212,-29282.0914182812,-1091641.0246864,-2660672.1803546,-1867856726.67611,-2567845.51311284,-186219092.9387,-27189438.6969507,50.931703299284,3292.370820418,177342.371898703,1.81898940354586,5500.62395632267,19155.7774087414,7918846.67705745,18751.9617611542,1239211.99701726,124529.833556153,-10.9139364212751,-85.4925019666553,-1095.03162093461,-132.786226458848,-6006.30301050842,-2240.9949451685,-535539.584234357,-2022.71621674299,-24796.4635491371,-40947.2704632208,-3.63797880709171,5.45696821063757,-3.63797880709171,3.63797880709171,620.275386609137,110.958353616297,-23106.622393243,-245.563569478691,-629.370333626866,-4827.5978770107,554.791768081486,-30.9228198602796,1.81898940354586,-1.81898940354586,-216.459739021957,36.3797880709171,-140.062184073031,89.130480773747,-303.771230392158,207.364792004228,-254.65851649642,-140.062184073031,-12.732925824821,-132.786226458848,-18.1898940354586,-7.27595761418343,-34.5607986673713,-101.863406598568,-20.0088834390044,0,0,-20.0088834390044,-9.09494701772928,0,-9.09494701772928
"beta_ta1_1",-860.38198787719,200.088834390044,-29282.0914182812,-40878.148865886,-454703.695140779,-17947.968444787,-7599710.44317354,-3021.34139928967,-413652.742281556,145390.004036017,7.27595761418343,-27.2848410531878,1.81898940354586,60.0266503170133,-405.634636990726,-50.931703299284,31024.6832668781,-212.821760214865,-511.136022396386,-4431.05818703771,-12.732925824821,-3.63797880709171,-132.786226458848,-225.554686039686,-5720.72167415172,-367.435859516263,-104821.083368734,-769.432517699897,-3625.24588126689,-16478.2250067219,7.27595761418343,-21.8278728425503,3.63797880709171,67.3026079311967,-783.984432928264,-216.459739021957,518.411980010569,-32.7418092638254,7.27595761418343,-2572.05101661384,585.714587941766,16.3709046319127,1.81898940354586,12.732925824821,-90.9494701772928,-25.465851649642,-43.6557456851006,-69.1215973347425,-52.7506927028298,-40.0177668780088,-16.3709046319127,-52.7506927028298,-7.27595761418343,-25.465851649642,-41.8367562815547,-18.1898940354586,5.45696821063757,10.9139364212751,-49.1127138957381,-47.2937244921923,-12.732925824821,-60.0266503170133,-20.0088834390044,0,21.8278728425503
"beta_ta2_1",-40878.148865886,-3012.24645227194,-1091641.0246864,-454703.695140779,-25872463.0839424,145633.748616092,-162522141.181398,1792359.39867795,-7160968.38004887,-3033632.31068943,60.0266503170133,-212.821760214865,5500.62395632267,-407.453626394272,109344.910015352,-4436.51515524834,-1333155.52375279,-13274.9846670777,-34307.9591402784,-16534.6136782318,-227.373675443232,-769.432517699897,-6015.39795752615,-5722.54066355526,-128049.578052014,-16480.0439961255,-2977316.39875565,2459.273673594,-99806.1295831576,-83851.7735246569,67.3026079311967,-34.5607986673713,622.094376012683,-787.622411735356,195812.390302308,-2570.2320272103,491176.251671277,-360.15990190208,13422.3228087649,150575.942825526,-1744.41083800048,-169.166014529765,114.596332423389,-9.09494701772928,-245.563569478691,622.094376012683,23.6468622460961,205.545802600682,-130.967237055302,-29.1038304567337,-107.320374809206,-576.619640924037,771.251507103443,-278.305378742516,118.234311230481,-394.720700569451,451.109372079372,-45.4747350886464,-27.2848410531878,1169.61018647999,341.970007866621,0,36.3797880709171,0,180.07995095104
"beta_Ec1_1",-482.032191939652,-59457.3066337034,-2660672.1803546,-17947.968444787,145633.748616092,-1167987.64793202,-345090746.122878,-412923.327530734,-28200583.983562,-7473287.04164829,18.1898940354586,81.8545231595635,19177.605281584,-50.931703299284,-4434.6961658448,-3867.17147193849,120444.383355789,-512.955011799932,75120.6243876368,30537.1941067278,-116.415321826935,-318.323145620525,-2240.9949451685,-367.435859516263,-16476.4060173184,-12973.032426089,-2183769.53853294,-3625.24588126689,-61894.7524344549,-104688.297142275,43.6557456851006,-87.3114913702011,110.958353616297,-216.459739021957,-2575.68899542093,-2133.67457035929,43108.2298746333,9.09494701772928,1495.20928971469,489.308149553835,116.415321826935,9.09494701772928,-50.931703299284,32.7418092638254,-232.83064365387,136.424205265939,-23.6468622460961,125.510268844664,-381.98777474463,-167.347025126219,-158.25207810849,-52.7506927028298,161.890056915581,-98.2254277914762,127.32925824821,178.260961547494,240.106601268053,85.4925019666553,-16.3709046319127,-16.3709046319127,-1.81898940354586,-9.09494701772928,3.63797880709171,0,-130.967237055302
"beta_Ec2_1",-1176744.26292069,-28421818.5697682,-1867856726.67611,-7599710.44317354,-162522141.181398,-345090746.122878,-210411882286.28,-280197753.454559,-19032942931.517,-3218100557.20562,-4085.45020036399,66254.8700347543,7329954.31462768,29696.8210022897,-1347478.24631631,15648.765838705,82657383.2455324,486917.997477576,36033061.4057602,4329218.42730138,-12914.8247651756,-61741.957324557,-543592.250323854,-103893.398772925,-2967306.50006793,-2172764.65264149,-380866355.044418,-792731.952969916,-12684895.4096204,-20147754.1850181,-2113.66568692029,1578.8828022778,-22713.7206820771,607.542460784316,494794.22159493,46051.3547295704,-16375763.1526096,-96208.1685429439,-697627.910994925,-1440226.69701371,221172.740566544,-3366.94938596338,-10539.2246041447,107.320374809206,-98039.8908723146,5898.98263569921,-39091.901271604,-18091.6686076671,-94125.4256758839,-53827.534429729,-18866.5580935776,20801.9628189504,43593.90004538,-8429.1968960315,17515.0489667431,28665.4540104792,31084.7099171951,21698.7245948985,-14402.7580972761,1664.37530424446,-4180.03764934838,-11732.4816528708,-4465.61898570508,0,-2171.87334783375
"beta_wta_1",200.088834390044,-29272.9964712635,-2567845.51311284,-3021.34139928967,1792359.39867795,-412923.327530734,-280197753.454559,-1091850.2084678,-27209913.241677,-7159114.82984666,-27.2848410531878,3.63797880709171,18786.5225598216,-212.821760214865,-13274.9846670777,-512.955011799932,559184.627491049,5504.26193512976,124688.085634261,-34300.6831826642,-3.63797880709171,-132.786226458848,-2022.71621674299,-767.613528296351,2417.43691731244,-3625.24588126689,-787722.456152551,-6006.30301050842,-40949.0894526243,-99855.2422970533,-20.0088834390044,3.63797880709171,-243.744580075145,-32.7418092638254,-365.616870112717,7.27595761418343,-96955.7731878012,622.094376012683,-4829.41686641425,13425.960787572,1016.81507658213,10.9139364212751,-10.9139364212751,-1.81898940354586,-420.186552219093,1.81898940354586,-329.2370820418,-81.8545231595635,-114.596332423389,-287.400325760245,-94.5874489843845,50.931703299284,167.347025126219,-96.4064383879304,52.7506927028298,263.753463514149,27.2848410531878,12.732925824821,72.7595761418343,98.2254277914762,-25.465851649642,85.4925019666553,40.0177668780088,0,21.8278728425503
"beta_wEc_1",-59515.5142946169,-2662938.64115141,-186219092.9387,-413652.742281556,-7160968.38004887,-28200583.983562,-19032942931.517,-27209913.241677,-1860324302.46996,-277355851.72195,80.0355337560177,18993.8873518258,1229251.21104345,-536.601874046028,-34431.6504197195,73778.2102078199,39996275.5182059,122889.105114155,7859716.78851638,541649.569640867,-318.323145620525,-2240.9949451685,-24852.852220647,-3625.24588126689,-99895.2600639313,-61918.399296701,-12646316.4633606,-41003.6591347307,-539766.915608197,-789883.415563963,-85.4925019666553,110.958353616297,-627.55134422332,7.27595761418343,13425.960787572,1498.84726852179,-710919.266566634,-4827.5978770107,-23188.4769164026,-97123.1202129275,6210.02982370555,-234.649633057415,-212.821760214865,-5.45696821063757,-4667.52680949867,389.263732358813,-2606.61181528121,251.020537689328,-4740.2863856405,-811.269273981452,-2595.69787885994,-934.96055342257,631.189323030412,-1182.34311230481,132.786226458848,327.418092638254,121.872290037572,-747.604644857347,-503.860064782202,12.732925824821,-78.2165443524718,-451.109372079372,-165.528035722673,0,-154.614099301398
"beta_taEc_1",-17962.5203600153,-413121.597375721,-27189438.6969507,145390.004036017,-3033632.31068943,-7473287.04164829,-3218100557.20562,-7159114.82984666,-277355851.72195,-161647782.078944,-50.931703299284,-512.955011799932,124646.24887798,-4449.24808107316,-16880.2216649055,30464.434530586,4924859.2404183,-34438.9263773337,552912.752027623,-1349540.98029993,-367.435859516263,-3625.24588126689,-41001.8401453272,-16476.4060173184,-83788.1088955328,-104655.555333011,-20197592.6756859,-99824.3194771931,-789330.442785285,-2975486.49541568,-216.459739021957,7.27595761418343,-4825.77888760716,-2579.32697422802,150472.260429524,512.955011799932,-1464213.71027827,13453.2456286252,-97072.1885096282,491554.601467215,24811.0154643655,61.8456397205591,463.842297904193,-200.088834390044,-8441.92982185632,-327.418092638254,-5726.17864236236,-3759.85109712929,-3437.88997270167,-6646.58728055656,-2581.14596363157,-1284.20651890337,2666.63846559823,-2375.60016103089,-83.6735125631094,4552.93047707528,1444.27758641541,2355.59127759188,1695.29812410474,2151.86446439475,-791.260390542448,2282.83170145005,763.97554948926,0,189.174897968769
"alpha_2",0,0,50.931703299284,7.27595761418343,60.0266503170133,18.1898940354586,-4085.45020036399,-27.2848410531878,80.0355337560177,-50.931703299284,-5.45696821063757,-14.5519152283669,-323.780113831162,3.63797880709171,-1473.38141687214,-276.48638933897,-72490.3657101095,76.397554948926,-2577.50798482448,-2557.49910138547,0,-1.81898940354586,-1.81898940354586,12.732925824821,-114.596332423389,-36.3797880709171,-178.260961547494,-5.45696821063757,5.45696821063757,174.622982740402,-1.81898940354586,1.81898940354586,-5.45696821063757,-7.27595761418343,-520.230969414115,41.8367562815547,-3872.62844014913,10.9139364212751,-147.338141687214,-40.0177668780088,-1.81898940354586,-1.81898940354586,-1.81898940354586,0,-5.45696821063757,-1.81898940354586,-3.63797880709171,-1.81898940354586,-5.45696821063757,-3.63797880709171,-1.81898940354586,9.09494701772928,1.81898940354586,5.45696821063757,3.63797880709171,7.27595761418343,1.81898940354586,3.63797880709171,-3.63797880709171,-1.81898940354586,-3.63797880709171,-3.63797880709171,-1.81898940354586,0,-1.81898940354586
"beta_w1_2",1.81898940354586,49.1127138957381,3292.370820418,-27.2848410531878,-212.821760214865,81.8545231595635,66254.8700347543,3.63797880709171,18993.8873518258,-512.955011799932,-14.5519152283669,-321.961124427617,-12621.9674712047,76.397554948926,-6388.29078525305,-2577.50798482448,-611713.403486647,3943.56902688742,-34284.3122780323,-13129.465514794,-1.81898940354586,-1.81898940354586,21.8278728425503,-5.45696821063757,-54.5696821063757,5.45696821063757,2562.95606959611,18.1898940354586,174.622982740402,1567.96886585653,1.81898940354586,-7.27595761418343,3.63797880709171,10.9139364212751,794.898369349539,-145.519152283669,2328.3064365387,-29.1038304567337,112.777343019843,-398.358679376543,-5.45696821063757,0,0,1.81898940354586,-1.81898940354586,3.63797880709171,3.63797880709171,-1.81898940354586,-3.63797880709171,-1.81898940354586,1.81898940354586,-3.63797880709171,-5.45696821063757,-5.45696821063757,-1.81898940354586,0,5.45696821063757,0,9.09494701772928,3.63797880709171,3.63797880709171,3.63797880709171,5.45696821063757,0,1.81898940354586
"beta_w2_2",50.931703299284,3294.18980982155,177342.371898703,1.81898940354586,5500.62395632267,19177.605281584,7329954.31462768,18786.5225598216,1229251.21104345,124646.24887798,-323.780113831162,-12621.9674712047,-705527.781974524,3941.75003748387,-150250.343722291,-34287.9502568394,-10439924.1536157,237136.191572063,-679348.886478692,-160829.586093314,-1.81898940354586,21.8278728425503,532.963895238936,18.1898940354586,1038.64294942468,174.622982740402,28478.0981019139,-351.06495488435,3872.62844014913,11188.6038212106,-7.27595761418343,1.81898940354586,-74.5785655453801,-29.1038304567337,-1700.75509231538,110.958353616297,-29185.6849798933,67.3026079311967,-1253.2836990431,442.014425061643,-85.4925019666553,5.45696821063757,-9.09494701772928,-3.63797880709171,45.4747350886464,36.3797880709171,98.2254277914762,20.0088834390044,-7.27595761418343,52.7506927028298,23.6468622460961,34.5607986673713,-18.1898940354586,-10.9139364212751,25.465851649642,36.3797880709171,32.7418092638254,9.09494701772928,-12.732925824821,-7.27595761418343,-9.09494701772928,-9.09494701772928,-9.09494701772928,0,-3.63797880709171
"beta_ta1_2",7.27595761418343,-29.1038304567337,1.81898940354586,60.0266503170133,-407.453626394272,-50.931703299284,29696.8210022897,-212.821760214865,-536.601874046028,-4449.24808107316,3.63797880709171,76.397554948926,3941.75003748387,-1475.20040627569,7410.56283004582,-2559.31809078902,-486557.837575674,-6388.29078525305,-13129.465514794,-81146.9362815842,10.9139364212751,-5.45696821063757,18.1898940354586,-114.596332423389,9426.00308917463,172.803993336856,68012.0137985796,-56.3886715099216,1567.96886585653,723.957782611251,-7.27595761418343,9.09494701772928,-29.1038304567337,-520.230969414115,-2464.73064180464,-41.8367562815547,-10830.262908712,794.898369349539,-400.177668780088,14626.4937939122,40.0177668780088,-1.81898940354586,-7.27595761418343,-7.27595761418343,-98.2254277914762,-10.9139364212751,-58.2076609134674,-61.8456397205591,-27.2848410531878,-54.5696821063757,-29.1038304567337,43.6557456851006,-9.09494701772928,18.1898940354586,20.0088834390044,10.9139364212751,32.7418092638254,1.81898940354586,-36.3797880709171,-10.9139364212751,-16.3709046319127,-14.5519152283669,-20.0088834390044,0,-3.63797880709171
"beta_ta2_2",61.8456397205591,-214.640749618411,5500.62395632267,-405.634636990726,109344.910015352,-4434.6961658448,-1347478.24631631,-13274.9846670777,-34431.6504197195,-16880.2216649055,-1473.38141687214,-6388.29078525305,-150250.343722291,7410.56283004582,-1562353.64556778,-81146.9362815842,-22189702.5767248,98565.5788099393,-628995.621809736,-2129532.73148742,-116.415321826935,-56.3886715099216,1036.82396002114,9426.00308917463,-73683.6227588356,723.957782611251,1128488.29303402,-4376.48850493133,28598.151402548,78791.3450039923,-520.230969414115,793.079379945993,-1700.75509231538,-2466.54963120818,-391792.127629742,14622.8558151051,-895379.344001412,5007.67782796174,-35779.521567747,-74631.3162380829,-381.98777474463,-623.913365416229,49.1127138957381,-214.640749618411,-2532.03324973583,-913.13268058002,-1082.29869510978,-722.138793207705,-1587.97774929553,-403.81564758718,-765.794538892806,3121.38581648469,1069.56576928496,1567.96886585653,1115.04050437361,2029.99217435718,434.73846744746,842.192093841732,-569.343683309853,56.3886715099216,-381.98777474463,-234.649633057415,-502.041075378656,0,-40.0177668780088
"beta_Ec1_2",18.1898940354586,80.0355337560177,19155.7774087414,-50.931703299284,-4436.51515524834,-3867.17147193849,15648.765838705,-512.955011799932,73778.2102078199,30464.434530586,-276.48638933897,-2577.50798482448,-34287.9502568394,-2559.31809078902,-81146.9362815842,-72543.1164028123,-12939726.7301101,-13129.465514794,-612189.978710376,-486312.274006195,-36.3797880709171,5.45696821063757,174.622982740402,172.803993336856,725.776772014797,-150.976120494306,102591.002359986,1567.96886585653,2937.66788672656,68112.0582157746,41.8367562815547,-147.338141687214,112.777343019843,-43.6557456851006,14624.6748045087,-3876.26641895622,-10186.3406598568,-400.177668780088,2319.21148952097,-10833.9008875191,36.3797880709171,-32.7418092638254,-9.09494701772928,36.3797880709171,-156.433088704944,54.5696821063757,-21.8278728425503,-9.09494701772928,-251.020537689328,-283.762346953154,-45.4747350886464,101.863406598568,-74.5785655453801,-9.09494701772928,-3.63797880709171,169.166014529765,209.183781407773,40.0177668780088,-47.2937244921923,5.45696821063757,-18.1898940354586,-45.4747350886464,-14.5519152283669,0,-16.3709046319127
"beta_Ec2_2",-3818.05875804275,75504.431151785,7918846.67705745,31024.6832668781,-1333155.52375279,120444.383355789,82657383.2455324,559184.627491049,39996275.5182059,4924859.2404183,-72490.3657101095,-611713.403486647,-10439924.1536157,-486557.837575674,-22189702.5767248,-12939726.7301101,-3585478862.07816,-2916616.72235932,-146772426.887765,-142512753.882329,-143.700162880123,2888.55517283082,33194.7376253083,68206.645664759,1138225.34331121,111125.700641423,41117520.5954351,419373.463955708,703697.878634557,15684789.1048528,-3872.62844014913,2315.57351071388,-29263.9015242457,-10826.6249299049,-894628.101377748,-10344.5927379653,-21704388.9279012,-1671.65126185864,-735410.139895976,-501504.47350461,-5895.34465689212,-13518.7292471528,-1447.9155652225,-2884.91719402373,-77656.2956161797,-8087.22688816488,-25316.6945185512,-33958.7131747976,-63957.4864180759,-60432.284954004,-26950.1470029354,59491.8674323708,9715.22240433842,19432.2637980804,25367.6262218505,47923.0948258191,42913.5980084538,22877.4297283962,-1542.50301420689,-1336.9572116062,-90.9494701772928,-969.521352089942,-1353.32811623812,0,221.916707232594
"beta_wta_2",-27.2848410531878,1.81898940354586,18751.9617611542,-212.821760214865,-13274.9846670777,-512.955011799932,486917.997477576,5504.26193512976,122889.105114155,-34438.9263773337,76.397554948926,3943.56902688742,237136.191572063,-6388.29078525305,98565.5788099393,-13129.465514794,-2916616.72235932,-150246.705743484,-160829.586093314,-629004.716756754,-5.45696821063757,18.1898940354586,-351.06495488435,-54.5696821063757,-4376.48850493133,1567.96886585653,418427.589465864,1036.82396002114,11204.9747258425,28592.6944343373,10.9139364212751,-29.1038304567337,69.1215973347425,794.898369349539,5005.8588385582,-398.358679376543,-1671.65126185864,-1698.93610291183,440.195435658097,-35781.3405571505,9.09494701772928,-41.8367562815547,-7.27595761418343,7.27595761418343,-118.234311230481,-80.0355337560177,-56.3886715099216,-25.465851649642,-96.4064383879304,-103.682396002114,-20.0088834390044,70.9405867382884,74.5785655453801,40.0177668780088,43.6557456851006,58.2076609134674,65.4836185276508,30.9228198602796,65.4836185276508,5.45696821063757,47.2937244921923,10.9139364212751,49.1127138957381,0,-1.81898940354586
"beta_wEc_2",83.6735125631094,19172.1483133733,1239211.99701726,-511.136022396386,-34307.9591402784,75120.6243876368,36033061.4057602,124688.085634261,7859716.78851638,552912.752027623,-2577.50798482448,-34284.3122780323,-679348.886478692,-13129.465514794,-628995.621809736,-612189.978710376,-146772426.887765,-160829.586093314,-10448662.5787104,-2908813.25781811,5.45696821063757,174.622982740402,3879.90439776331,1567.96886585653,28610.8843283728,2948.58182314783,600573.912379332,11204.9747258425,34622.6443070918,419646.31236624,-145.519152283669,110.958353616297,-1251.46470963955,-400.177668780088,-35781.3405571505,2319.21148952097,-733994.966140017,440.195435658097,-29231.1597149819,-1684.38418768346,-858.562998473644,-152.795109897852,-125.510268844664,-105.50138540566,-1025.91002359986,211.002770811319,422.005541622639,-476.575223729014,-1291.48247651756,-894.942786544561,-283.762346953154,1298.75843413174,40.0177668780088,187.355908565223,676.664058119059,1184.16210170835,1102.30757854879,569.343683309853,-185.536919161677,-132.786226458848,-138.243194669485,-132.786226458848,-74.5785655453801,0,-63.664629124105
"beta_taEc_2",-50.931703299284,-511.136022396386,124529.833556153,-4431.05818703771,-16534.6136782318,30537.1941067278,4329218.42730138,-34300.6831826642,541649.569640867,-1349540.98029993,-2557.49910138547,-13129.465514794,-160829.586093314,-81146.9362815842,-2129532.73148742,-486312.274006195,-142512753.882329,-629004.716756754,-2908813.25781811,-22195656.1290426,174.622982740402,1567.96886585653,11204.9747258425,725.776772014797,78896.846389398,68142.9810356349,15665998.9443142,28618.160285987,420002.834289335,1137566.86914712,-41.8367562815547,-400.177668780088,442.014425061643,14622.8558151051,-74551.2807043269,-10837.5388663262,-503050.614497624,-35777.7025783435,-1669.8322724551,-895161.065272987,-70.9405867382884,-1735.31589098275,-200.088834390044,3.63797880709171,-6248.22860118002,-3095.91996483505,-2788.5107556358,-2364.68622460961,-4092.72615797818,-4012.69062422216,-1646.185410209,4956.74612466246,2310.11654250324,2310.11654250324,2173.6923372373,3048.62624034286,2775.77782981098,1511.58019434661,1353.32811623812,882.20986071974,1151.42029244453,551.153789274395,634.827301837504,0,107.320374809206
