"","alpha_1","beta_w1_1","beta_w2_1","beta_ta1_1","beta_ta2_1","beta_Ec1_1","beta_Ec2_1","beta_wta_1","beta_wEc_1","beta_taEc_1","alpha_2","beta_w1_2","beta_w2_2","beta_ta1_2","beta_ta2_2","beta_Ec1_2","beta_Ec2_2","beta_wta_2","beta_wEc_2","beta_taEc_2","alpha_3","beta_w1_3","beta_w2_3","beta_ta1_3","beta_ta2_3","beta_Ec1_3","beta_Ec2_3","beta_wta_3","beta_wEc_3","beta_taEc_3","alpha_4","beta_w1_4","beta_w2_4","beta_ta1_4","beta_ta2_4","beta_Ec1_4","beta_Ec2_4","beta_wta_4","beta_wEc_4","beta_taEc_4","sigma_1","sigma_2","sigma_3","sigma_4","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","asc_3","x_female_3","x_mayor45_3","x_underage_in_household_3","x_only_worker_3","x_university_3","x_metropolitana_3","asc_4","x_female_4","x_mayor45_4","x_underage_in_household_4","x_only_worker_4","x_university_4","x_metropolitana_4"
"alpha_3",0,-3.63797880709171,-10.9139364212751,-12.732925824821,-227.373675443232,-116.415321826935,-12914.8247651756,-3.63797880709171,-318.323145620525,-367.435859516263,0,-1.81898940354586,-1.81898940354586,10.9139364212751,-116.415321826935,-36.3797880709171,-143.700162880123,-5.45696821063757,5.45696821063757,174.622982740402,-12.732925824821,-1.81898940354586,-201.90782379359,1.81898940354586,-4591.12925454974,-18.1898940354586,-59773.8107899204,5.45696821063757,-1062.28981167078,-5386.02762389928,0,-1.81898940354586,0,14.5519152283669,-292.857293970883,10.9139364212751,-2406.52298089117,-29.1038304567337,-32.7418092638254,-834.916136227548,-1.81898940354586,1.81898940354586,5.45696821063757,1.81898940354586,-7.27595761418343,-5.45696821063757,-5.45696821063757,-3.63797880709171,-3.63797880709171,-1.81898940354586,-1.81898940354586,27.2848410531878,16.3709046319127,10.9139364212751,12.732925824821,10.9139364212751,3.63797880709171,5.45696821063757,-12.732925824821,-9.09494701772928,-5.45696821063757,-7.27595761418343,-3.63797880709171,0,-3.63797880709171
"beta_w1_3",-1.81898940354586,-12.732925824821,-85.4925019666553,-3.63797880709171,-769.432517699897,-318.323145620525,-61741.957324557,-132.786226458848,-2240.9949451685,-3625.24588126689,-1.81898940354586,-1.81898940354586,21.8278728425503,-5.45696821063757,-56.3886715099216,5.45696821063757,2888.55517283082,18.1898940354586,174.622982740402,1567.96886585653,-1.81898940354586,-201.90782379359,-9375.07138587534,5.45696821063757,583.89559853822,-1062.28981167078,-239673.681790009,-305.590219795704,20429.0699912235,-1758.96275322884,-1.81898940354586,-1.81898940354586,-5.45696821063757,-29.1038304567337,116.415321826935,-32.7418092638254,-1869.92110684514,40.0177668780088,-83.6735125631094,898.580765351653,-1.81898940354586,-1.81898940354586,-7.27595761418343,-1.81898940354586,9.09494701772928,3.63797880709171,3.63797880709171,1.81898940354586,7.27595761418343,-1.81898940354586,1.81898940354586,-29.1038304567337,-21.8278728425503,-14.5519152283669,-12.732925824821,-14.5519152283669,3.63797880709171,-5.45696821063757,14.5519152283669,9.09494701772928,3.63797880709171,5.45696821063757,5.45696821063757,0,1.81898940354586
"beta_w2_3",-10.9139364212751,-87.3114913702011,-1095.03162093461,-132.786226458848,-6015.39795752615,-2240.9949451685,-543592.250323854,-2022.71621674299,-24852.852220647,-41001.8401453272,-1.81898940354586,21.8278728425503,532.963895238936,18.1898940354586,1036.82396002114,174.622982740402,33194.7376253083,-351.06495488435,3879.90439776331,11204.9747258425,-201.90782379359,-9375.07138587534,-705094.86249648,-305.590219795704,-49629.3068863451,20429.0699912235,-8456079.7404265,-55522.8325538337,2040522.3040143,110341.716208495,0,-7.27595761418343,12.732925824821,38.198777474463,-136.424205265939,-83.6735125631094,-8594.72493175417,-236.468622460961,-307.40920919925,-3141.39469992369,0,3.63797880709171,9.09494701772928,3.63797880709171,1.81898940354586,5.45696821063757,12.732925824821,12.732925824821,20.0088834390044,3.63797880709171,14.5519152283669,61.8456397205591,29.1038304567337,-1.81898940354586,10.9139364212751,3.63797880709171,5.45696821063757,-9.09494701772928,-40.0177668780088,-29.1038304567337,-14.5519152283669,-23.6468622460961,-10.9139364212751,0,-5.45696821063757
"beta_ta1_3",-12.732925824821,-5.45696821063757,-132.786226458848,-225.554686039686,-5722.54066355526,-367.435859516263,-103893.398772925,-767.613528296351,-3625.24588126689,-16476.4060173184,12.732925824821,-5.45696821063757,18.1898940354586,-114.596332423389,9426.00308917463,172.803993336856,68206.645664759,-54.5696821063757,1567.96886585653,725.776772014797,1.81898940354586,5.45696821063757,-305.590219795704,-4591.12925454974,49429.2180519551,-5386.02762389928,-120890.035759658,582.076609134674,-1760.78174263239,87844.45526544,16.3709046319127,-29.1038304567337,40.0177668780088,-292.857293970883,17040.2927324176,-836.735125631094,35450.2844857052,116.415321826935,896.761775948107,16265.403246507,20.0088834390044,-3.63797880709171,18.1898940354586,-20.0088834390044,-65.4836185276508,-14.5519152283669,-16.3709046319127,-14.5519152283669,-40.0177668780088,-25.465851649642,-14.5519152283669,0,-67.3026079311967,-10.9139364212751,-40.0177668780088,0,14.5519152283669,9.09494701772928,43.6557456851006,69.1215973347425,18.1898940354586,47.2937244921923,14.5519152283669,0,3.63797880709171
"beta_ta2_3",-225.554686039686,-769.432517699897,-6006.30301050842,-5720.72167415172,-128049.578052014,-16476.4060173184,-2967306.50006793,2417.43691731244,-99895.2600639313,-83788.1088955328,-114.596332423389,-54.5696821063757,1038.64294942468,9426.00308917463,-73683.6227588356,725.776772014797,1138225.34331121,-4376.48850493133,28610.8843283728,78896.846389398,-4591.12925454974,583.89559853822,-49629.3068863451,49429.2180519551,-5051115.29491842,87848.0932442471,-19016071.7465915,29425.7915811613,-305959.474644624,-5605146.72542922,-292.857293970883,116.415321826935,-134.605215862393,17043.9307112247,-396841.642213985,16270.8602147177,-1333646.65089175,-31292.0747091994,-28396.2435787544,-877776.983543299,143.700162880123,318.323145620525,1136.86837721616,551.153789274395,-2077.28589884937,-824.002199806273,-1016.81507658213,-774.889485910535,-651.198206469417,-303.771230392158,-358.340912498534,6528.35296932608,4380.12648373842,2215.52909351885,3838.06764148176,1340.5951904133,360.15990190208,1098.6695997417,-4387.40244135261,-3197.78337143362,-1105.94555735588,-2726.66511591524,-976.797309704125,0,-685.759005136788
"beta_Ec1_3",-116.415321826935,-320.142135024071,-2240.9949451685,-367.435859516263,-16480.0439961255,-12973.032426089,-2172764.65264149,-3625.24588126689,-61918.399296701,-104655.555333011,-36.3797880709171,5.45696821063757,174.622982740402,172.803993336856,723.957782611251,-150.976120494306,111125.700641423,1567.96886585653,2948.58182314783,68142.9810356349,-18.1898940354586,-1062.28981167078,20429.0699912235,-5386.02762389928,87848.0932442471,-59762.8968534991,-4880654.15993333,-1758.96275322884,-239633.664023131,-120171.534945257,10.9139364212751,-32.7418092638254,-83.6735125631094,-838.55411503464,16263.5842571035,-2410.16095969826,-32299.7948387638,896.761775948107,-1871.74009624869,35453.9224645123,36.3797880709171,12.732925824821,-45.4747350886464,-60.0266503170133,1.81898940354586,36.3797880709171,47.2937244921923,34.5607986673713,7.27595761418343,-160.071067512035,0,-416.548573412001,-385.625753551722,-205.545802600682,-220.097717829049,-125.510268844664,227.373675443232,-83.6735125631094,283.762346953154,256.477505899966,98.2254277914762,152.795109897852,61.8456397205591,0,58.2076609134674
"beta_Ec2_3",-12989.403330721,-61823.8118477166,-535539.584234357,-104821.083368734,-2977316.39875565,-2183769.53853294,-380866355.044418,-787722.456152551,-12646316.4633606,-20197592.6756859,-178.260961547494,2562.95606959611,28478.0981019139,68012.0137985796,1128488.29303402,102591.002359986,41117520.5954351,418427.589465864,600573.912379332,15665998.9443142,-59773.8107899204,-239673.681790009,-8456079.7404265,-120890.035759658,-19016071.7465915,-4880654.15993333,-1265391805.64578,-1718688.50884493,-21644716.9805178,-58806273.9552697,-2413.79893850535,-1873.55908565223,-8631.10471982509,35459.3794327229,-1334932.67640006,-32443.4950016439,-23084649.0012482,-97397.7876128629,-415504.473494366,-3825573.0032688,-4440.15313405544,2366.50521401316,25953.3408097923,4698.44962935895,-40441.591409035,-16232.6614372432,-13955.2867040038,-7355.99314793944,-20598.2360057533,-29287.5483864918,-7372.36405257136,82272.8907223791,39482.9839933664,26671.8416241929,25798.7267104909,39299.2660636082,43017.280404456,13584.2128656805,-21660.5258174241,-15541.4454638958,-7878.0431067571,-12194.5049613714,-8947.60887604207,0,-2692.10431724787
"beta_wta_3",-3.63797880709171,-132.786226458848,-2022.71621674299,-769.432517699897,2459.273673594,-3625.24588126689,-792731.952969916,-6006.30301050842,-41003.6591347307,-99824.3194771931,-5.45696821063757,18.1898940354586,-351.06495488435,-56.3886715099216,-4376.48850493133,1567.96886585653,419373.463955708,1036.82396002114,11204.9747258425,28618.160285987,5.45696821063757,-305.590219795704,-55522.8325538337,582.076609134674,29425.7915811613,-1758.96275322884,-1718688.50884493,-49629.3068863451,110332.621261477,-305999.492411502,-29.1038304567337,38.198777474463,-236.468622460961,116.415321826935,-31295.7126880065,896.761775948107,-97310.4761214927,-136.424205265939,-3143.21368932724,-28392.6055999473,-34.5607986673713,-9.09494701772928,63.664629124105,34.5607986673713,-103.682396002114,-72.7595761418343,-36.3797880709171,-29.1038304567337,-25.465851649642,-120.053300634027,-47.2937244921923,103.682396002114,96.4064383879304,47.2937244921923,30.9228198602796,81.8545231595635,167.347025126219,41.8367562815547,61.8456397205591,-7.27595761418343,3.63797880709171,5.45696821063757,1.81898940354586,0,30.9228198602796
"beta_wEc_3",-318.323145620525,-2239.17595576495,-24796.4635491371,-3625.24588126689,-99806.1295831576,-61894.7524344549,-12684895.4096204,-40949.0894526243,-539766.915608197,-789330.442785285,5.45696821063757,174.622982740402,3872.62844014913,1567.96886585653,28598.151402548,2937.66788672656,703697.878634557,11204.9747258425,34622.6443070918,420002.834289335,-1062.28981167078,20429.0699912235,2040522.3040143,-1760.78174263239,-305959.474644624,-239633.664023131,-21644716.9805178,110332.621261477,-8455755.96031267,-1707086.99442912,-32.7418092638254,-83.6735125631094,-305.590219795704,896.761775948107,-28394.4245893508,-1871.74009624869,-414507.667301223,-3143.21368932724,-8611.09583638608,-97325.0280367211,-163.709046319127,-3.63797880709171,567.524693906307,125.510268844664,-507.498043589294,-112.777343019843,-98.2254277914762,127.32925824821,-101.863406598568,-416.548573412001,14.5519152283669,1977.24148165435,896.761775948107,494.765117764473,389.263732358813,794.898369349539,869.476934894919,247.382558882236,-591.171556152403,-454.747350886464,-225.554686039686,-325.599103234708,-205.545802600682,0,-92.7684595808387
"beta_taEc_3",-365.616870112717,-3625.24588126689,-40947.2704632208,-16478.2250067219,-83851.7735246569,-104688.297142275,-20147754.1850181,-99855.2422970533,-789883.415563963,-2975486.49541568,174.622982740402,1567.96886585653,11188.6038212106,723.957782611251,78791.3450039923,68112.0582157746,15684789.1048528,28592.6944343373,419646.31236624,1137566.86914712,-5386.02762389928,-1758.96275322884,110341.716208495,87844.45526544,-5605146.72542922,-120171.534945257,-58806273.9552697,-305999.492411502,-1707086.99442912,-19009270.5452116,-836.735125631094,898.580765351653,-3143.21368932724,16270.8602147177,-877909.769769758,35464.8364009336,-3822204.23489343,-28401.700546965,-97355.9508565813,-1334045.00957113,736.690708436072,240.106601268053,2952.21980195493,944.0555004403,-5818.94710194319,-3072.27310258895,-2197.33919948339,-1777.1526472643,-2793.96772384644,-3477.90773957968,-1715.30700754374,7050.40292814374,5255.06038684398,2675.73341261595,3858.07652492076,2826.70953311026,3694.36747860163,1300.57742353529,-3077.73007079959,-3092.28198602796,-965.88337328285,-2559.31809078902,-922.227627597749,0,-56.3886715099216
"alpha_4",-1.81898940354586,0,-3.63797880709171,7.27595761418343,67.3026079311967,43.6557456851006,-2113.66568692029,-20.0088834390044,-85.4925019666553,-216.459739021957,-1.81898940354586,1.81898940354586,-7.27595761418343,-7.27595761418343,-520.230969414115,41.8367562815547,-3872.62844014913,10.9139364212751,-145.519152283669,-41.8367562815547,0,-1.81898940354586,0,16.3709046319127,-292.857293970883,10.9139364212751,-2413.79893850535,-29.1038304567337,-32.7418092638254,-836.735125631094,-10.9139364212751,9.09494701772928,-32.7418092638254,56.3886715099216,-4361.93658970296,291.038304567337,-21065.7162824646,-21.8278728425503,-583.89559853822,-4385.58345194906,-1.81898940354586,-1.81898940354586,-1.81898940354586,-3.63797880709171,-3.63797880709171,-1.81898940354586,-3.63797880709171,-3.63797880709171,1.81898940354586,0,-1.81898940354586,16.3709046319127,9.09494701772928,5.45696821063757,10.9139364212751,5.45696821063757,0,3.63797880709171,-14.5519152283669,-9.09494701772928,-3.63797880709171,-9.09494701772928,-7.27595761418343,0,-1.81898940354586
"beta_w1_4",1.81898940354586,-3.63797880709171,5.45696821063757,-21.8278728425503,-34.5607986673713,-87.3114913702011,1578.8828022778,3.63797880709171,110.958353616297,7.27595761418343,1.81898940354586,-7.27595761418343,1.81898940354586,9.09494701772928,793.079379945993,-147.338141687214,2315.57351071388,-29.1038304567337,110.958353616297,-400.177668780088,-1.81898940354586,-1.81898940354586,-7.27595761418343,-29.1038304567337,116.415321826935,-32.7418092638254,-1873.55908565223,38.198777474463,-83.6735125631094,898.580765351653,9.09494701772928,-36.3797880709171,-5.45696821063757,-23.6468622460961,3652.53072232008,-583.89559853822,10524.6726889163,134.605215862393,591.171556152403,1609.80562213808,0,0,0,5.45696821063757,3.63797880709171,0,0,0,-1.81898940354586,-1.81898940354586,1.81898940354586,-25.465851649642,-20.0088834390044,-9.09494701772928,-16.3709046319127,-7.27595761418343,-1.81898940354586,-7.27595761418343,21.8278728425503,12.732925824821,5.45696821063757,10.9139364212751,9.09494701772928,0,1.81898940354586
"beta_w2_4",-1.81898940354586,7.27595761418343,-3.63797880709171,3.63797880709171,622.094376012683,110.958353616297,-22713.7206820771,-243.744580075145,-627.55134422332,-4825.77888760716,-5.45696821063757,3.63797880709171,-74.5785655453801,-29.1038304567337,-1700.75509231538,112.777343019843,-29263.9015242457,69.1215973347425,-1251.46470963955,442.014425061643,0,-5.45696821063757,12.732925824821,40.0177668780088,-134.605215862393,-83.6735125631094,-8631.10471982509,-236.468622460961,-305.590219795704,-3143.21368932724,-32.7418092638254,-5.45696821063757,-462.023308500648,136.424205265939,-14049.8741529882,592.990545555949,-121164.703159593,190.993887372315,-4332.83275924623,-18202.6269612834,0,-5.45696821063757,-1.81898940354586,-14.5519152283669,-1.81898940354586,-1.81898940354586,-5.45696821063757,0,0,0,-1.81898940354586,54.5696821063757,36.3797880709171,20.0088834390044,38.198777474463,14.5519152283669,0,14.5519152283669,-58.2076609134674,-36.3797880709171,-16.3709046319127,-43.6557456851006,-14.5519152283669,0,-12.732925824821
"beta_ta1_4",7.27595761418343,-21.8278728425503,3.63797880709171,67.3026079311967,-787.622411735356,-216.459739021957,607.542460784316,-32.7418092638254,7.27595761418343,-2579.32697422802,-7.27595761418343,10.9139364212751,-29.1038304567337,-520.230969414115,-2466.54963120818,-43.6557456851006,-10826.6249299049,794.898369349539,-400.177668780088,14622.8558151051,14.5519152283669,-29.1038304567337,38.198777474463,-292.857293970883,17043.9307112247,-838.55411503464,35459.3794327229,116.415321826935,896.761775948107,16270.8602147177,56.3886715099216,-23.6468622460961,136.424205265939,-4363.75557910651,90196.4085642248,-4387.40244135261,179728.885996155,3652.53072232008,1607.98663273454,172918.58966928,36.3797880709171,-14.5519152283669,16.3709046319127,1.81898940354586,1.81898940354586,16.3709046319127,0,5.45696821063757,3.63797880709171,0,3.63797880709171,-36.3797880709171,-83.6735125631094,-20.0088834390044,-50.931703299284,-27.2848410531878,-1.81898940354586,-16.3709046319127,-70.9405867382884,12.732925824821,-23.6468622460961,-40.0177668780088,9.09494701772928,0,-23.6468622460961
"beta_ta2_4",67.3026079311967,-34.5607986673713,620.275386609137,-783.984432928264,195812.390302308,-2575.68899542093,494794.22159493,-365.616870112717,13425.960787572,150472.260429524,-520.230969414115,794.898369349539,-1700.75509231538,-2464.73064180464,-391792.127629742,14624.6748045087,-894628.101377748,5005.8588385582,-35781.3405571505,-74551.2807043269,-292.857293970883,116.415321826935,-136.424205265939,17040.2927324176,-396841.642213985,16263.5842571035,-1334932.67640006,-31295.7126880065,-28394.4245893508,-877909.769769758,-4361.93658970296,3652.53072232008,-14049.8741529882,90196.4085642248,-5442983.82010311,172918.58966928,-11596037.4387214,-32378.0113831162,-176059.984369203,-6169393.60043034,-416.548573412001,-234.649633057415,-478.39421313256,-1158.69625005871,-1067.74677988142,-494.765117764473,-902.218744158745,-840.373104438186,332.875060848892,0,-698.491930961609,5862.6028476283,3668.90162695199,1818.98940354586,3614.33194484562,2095.47579288483,0,1415.17375595868,-4838.51181343198,-2732.12208412588,-825.821189209819,-2633.8966563344,-2519.30032391101,0,-660.293153487146
"beta_Ec1_4",43.6557456851006,-87.3114913702011,110.958353616297,-216.459739021957,-2570.2320272103,-2133.67457035929,46051.3547295704,7.27595761418343,1498.84726852179,512.955011799932,41.8367562815547,-145.519152283669,110.958353616297,-41.8367562815547,14622.8558151051,-3876.26641895622,-10344.5927379653,-398.358679376543,2319.21148952097,-10837.5388663262,10.9139364212751,-32.7418092638254,-83.6735125631094,-836.735125631094,16270.8602147177,-2410.16095969826,-32443.4950016439,896.761775948107,-1871.74009624869,35464.8364009336,291.038304567337,-583.89559853822,592.990545555949,-4387.40244135261,172918.58966928,-21065.7162824646,328296.664520167,1609.80562213808,10526.4916783199,179748.894879594,87.3114913702011,7.27595761418343,27.2848410531878,94.5874489843845,190.993887372315,96.4064383879304,125.510268844664,150.976120494306,5.45696821063757,0,100.044417195022,-545.696821063757,-418.367562815547,-178.260961547494,-389.263732358813,-98.2254277914762,-1.81898940354586,-136.424205265939,289.219315163791,256.477505899966,9.09494701772928,165.528035722673,98.2254277914762,0,-12.732925824821
"beta_Ec2_4",-2130.0365915522,1507.94221553952,-23106.622393243,518.411980010569,491176.251671277,43108.2298746333,-16375763.1526096,-96955.7731878012,-710919.266566634,-1464213.71027827,-3872.62844014913,2328.3064365387,-29185.6849798933,-10830.262908712,-895379.344001412,-10186.3406598568,-21704388.9279012,-1671.65126185864,-733994.966140017,-503050.614497624,-2406.52298089117,-1869.92110684514,-8594.72493175417,35450.2844857052,-1333646.65089175,-32299.7948387638,-23084649.0012482,-97310.4761214927,-414507.667301223,-3822204.23489343,-21065.7162824646,10524.6726889163,-121164.703159593,179728.885996155,-11596037.4387214,328296.664520167,-105690993.223106,-275529.600912705,-2623328.3278998,-20061735.9951138,803.993316367269,-2024.53520614654,-3552.48630512506,-7126.80048309267,-16800.1861311495,-7108.61058905721,-10886.651580222,-9958.96698441356,-6526.53397992253,0,-5322.36299477518,43737.6002082601,27222.9954134673,15357.7275341377,25287.5906880945,10300.9369922802,0,12259.9885798991,-25258.4868576378,-17660.5681190267,-3312.379703857,-13100.3616843373,-3932.65509046614,0,-5733.45459997654
"beta_wta_4",-20.0088834390044,3.63797880709171,-245.563569478691,-32.7418092638254,-360.15990190208,9.09494701772928,-96208.1685429439,622.094376012683,-4827.5978770107,13453.2456286252,10.9139364212751,-29.1038304567337,67.3026079311967,794.898369349539,5007.67782796174,-400.177668780088,-1671.65126185864,-1698.93610291183,440.195435658097,-35777.7025783435,-29.1038304567337,40.0177668780088,-236.468622460961,116.415321826935,-31292.0747091994,896.761775948107,-97397.7876128629,-136.424205265939,-3143.21368932724,-28401.700546965,-21.8278728425503,134.605215862393,190.993887372315,3652.53072232008,-32378.0113831162,1609.80562213808,-275529.600912705,-14049.8741529882,-18206.2649400905,-176054.527400993,-50.931703299284,29.1038304567337,-23.6468622460961,20.0088834390044,-78.2165443524718,-52.7506927028298,-27.2848410531878,-78.2165443524718,-23.6468622460961,0,-16.3709046319127,56.3886715099216,112.777343019843,60.0266503170133,49.1127138957381,41.8367562815547,0,30.9228198602796,174.622982740402,20.0088834390044,23.6468622460961,145.519152283669,-1.81898940354586,0,36.3797880709171
"beta_wEc_4",-87.3114913702011,109.139364212751,-629.370333626866,7.27595761418343,13422.3228087649,1495.20928971469,-697627.910994925,-4829.41686641425,-23188.4769164026,-97072.1885096282,-147.338141687214,112.777343019843,-1253.2836990431,-400.177668780088,-35779.521567747,2319.21148952097,-735410.139895976,440.195435658097,-29231.1597149819,-1669.8322724551,-32.7418092638254,-83.6735125631094,-307.40920919925,896.761775948107,-28396.2435787544,-1871.74009624869,-415504.473494366,-3143.21368932724,-8611.09583638608,-97355.9508565813,-583.89559853822,591.171556152403,-4332.83275924623,1607.98663273454,-176059.984369203,10526.4916783199,-2623328.3278998,-18206.2649400905,-121131.961350329,-275522.324955091,18.1898940354586,-92.7684595808387,-101.863406598568,-274.667399935424,-392.901711165905,-209.183781407773,-274.667399935424,-265.572452917695,-114.596332423389,0,-149.15713109076,1437.00162880123,945.874489843845,551.153789274395,864.019966684282,260.115484707057,-1.81898940354586,411.091605201364,-1058.65183286369,-700.310920365155,-256.477505899966,-603.904481977224,-152.795109897852,0,-249.201548285782
"beta_taEc_4",-214.640749618411,9.09494701772928,-4827.5978770107,-2572.05101661384,150575.942825526,489.308149553835,-1440226.69701371,13425.960787572,-97123.1202129275,491554.601467215,-40.0177668780088,-398.358679376543,442.014425061643,14626.4937939122,-74631.3162380829,-10833.9008875191,-501504.47350461,-35781.3405571505,-1684.38418768346,-895161.065272987,-834.916136227548,898.580765351653,-3141.39469992369,16265.403246507,-877776.983543299,35453.9224645123,-3825573.0032688,-28392.6055999473,-97325.0280367211,-1334045.00957113,-4385.58345194906,1609.80562213808,-18202.6269612834,172918.58966928,-6169393.60043034,179748.894879594,-20061735.9951138,-176054.527400993,-275522.324955091,-11596086.5514353,-1364.24205265939,381.98777474463,-904.037733562291,-494.765117764473,-1899.02493730187,-1215.08492156863,-1307.85338114947,-1482.47636388987,-562.06772569567,0,-556.610757485032,5076.79942529649,5102.26527694613,2262.82281801105,3728.92827726901,2321.03047892451,0,1549.77897182107,563.886715099216,-1680.74620887637,498.403096571565,762.156560085714,-1376.97497848421,0,314.685166813433
"sigma_1",5.45696821063757,-36.3797880709171,554.791768081486,585.714587941766,-1744.41083800048,116.415321826935,221172.740566544,1016.81507658213,6210.02982370555,24811.0154643655,-1.81898940354586,-5.45696821063757,-85.4925019666553,40.0177668780088,-381.98777474463,36.3797880709171,-5895.34465689212,9.09494701772928,-858.562998473644,-70.9405867382884,-1.81898940354586,-1.81898940354586,0,20.0088834390044,143.700162880123,36.3797880709171,-4440.15313405544,-34.5607986673713,-163.709046319127,736.690708436072,-1.81898940354586,0,0,36.3797880709171,-416.548573412001,87.3114913702011,803.993316367269,-50.931703299284,18.1898940354586,-1364.24205265939,-316.504156216979,0,-1.81898940354586,-1.81898940354586,-38.198777474463,-10.9139364212751,-23.6468622460961,-25.465851649642,-14.5519152283669,-18.1898940354586,-16.3709046319127,-34.5607986673713,-10.9139364212751,-16.3709046319127,-12.732925824821,-12.732925824821,-10.9139364212751,-10.9139364212751,-29.1038304567337,-12.732925824821,-10.9139364212751,-21.8278728425503,-7.27595761418343,0,-14.5519152283669
