"","PH_1","theta_w_1","sigma_1","PH_2","theta_w_2","sigma_2","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","PH_3","theta_w_3","sigma_3","asc_3","x_female_3","x_mayor45_3","x_underage_in_household_3","x_only_worker_3","x_university_3","x_metropolitana_3","PH_4","theta_w_4","sigma_4","asc_4","x_female_4","x_mayor45_4","x_underage_in_household_4","x_only_worker_4","x_university_4","x_metropolitana_4"
"PH_1",-144480.509334244,-10670.1918412,63.664629124105,-2552.04213317484,-1076.84172689915,1.81898940354586,-771.251507103443,-300.133251585066,-396.539689972997,-409.272615797818,-638.465280644596,-156.433088704944,-170.985003933311,-1635.27147378772,-722.138793207705,-47.2937244921923,-189.174897968769,-70.9405867382884,-78.2165443524718,-123.691279441118,-69.1215973347425,-7.27595761418343,-65.4836185276508,-20.0088834390044,-9.09494701772928,0,-1.81898940354586,-1.81898940354586,-1.81898940354586,-1.81898940354586,0,0,1.81898940354586
"theta_w_1",-10670.1918412,-1868.10211744159,3.63797880709171,-965.88337328285,-454.747350886464,5.45696821063757,-14.5519152283669,5.45696821063757,-20.0088834390044,-27.2848410531878,-27.2848410531878,-3.63797880709171,-5.45696821063757,-472.937244921923,-251.020537689328,-10.9139364212751,-47.2937244921923,-18.1898940354586,-20.0088834390044,-30.9228198602796,-9.09494701772928,-3.63797880709171,-18.1898940354586,-16.3709046319127,-7.27595761418343,1.81898940354586,3.63797880709171,1.81898940354586,1.81898940354586,1.81898940354586,0,0,1.81898940354586
"sigma_1",63.664629124105,3.63797880709171,-10.9139364212751,-5.45696821063757,7.27595761418343,0,12.732925824821,5.45696821063757,5.45696821063757,7.27595761418343,7.27595761418343,3.63797880709171,5.45696821063757,-25.465851649642,-10.9139364212751,0,0,0,0,0,1.81898940354586,0,0,1.81898940354586,0,1.81898940354586,0,0,1.81898940354586,0,0,0,1.81898940354586
"PH_2",-2552.04213317484,-965.88337328285,-5.45696821063757,-18711.9439942762,-9322.32069317251,134.605215862393,316.504156216979,92.7684595808387,225.554686039686,371.073838323355,-147.338141687214,-23.6468622460961,187.355908565223,-1591.61572810262,-703.948899172246,110.958353616297,-702.129909768701,-307.40920919925,-296.495272777975,-536.601874046028,-36.3797880709171,-49.1127138957381,-231.011654250324,-1853.55020221323,-865.838956087828,21.8278728425503,143.700162880123,87.3114913702011,36.3797880709171,78.2165443524718,0,0,50.931703299284
"theta_w_2",-1076.84172689915,-454.747350886464,7.27595761418343,-9322.32069317251,-4973.11702929437,89.130480773747,176.441972143948,49.1127138957381,120.053300634027,183.717929758132,-52.7506927028298,7.27595761418343,92.7684595808387,-603.904481977224,-278.305378742516,50.931703299284,-338.332029059529,-147.338141687214,-143.700162880123,-256.477505899966,-12.732925824821,-23.6468622460961,-110.958353616297,-960.426405072212,-462.023308500648,12.732925824821,103.682396002114,65.4836185276508,27.2848410531878,58.2076609134674,0,0,36.3797880709171
"sigma_2",1.81898940354586,5.45696821063757,0,134.605215862393,89.130480773747,-43.6557456851006,34.5607986673713,18.1898940354586,14.5519152283669,20.0088834390044,10.9139364212751,7.27595761418343,9.09494701772928,-109.139364212751,-61.8456397205591,0,-16.3709046319127,-9.09494701772928,-5.45696821063757,-12.732925824821,0,-1.81898940354586,-3.63797880709171,29.1038304567337,16.3709046319127,0,10.9139364212751,7.27595761418343,3.63797880709171,7.27595761418343,0,0,3.63797880709171
"asc_2",-771.251507103443,-14.5519152283669,12.732925824821,316.504156216979,176.441972143948,34.5607986673713,-187.355908565223,-87.3114913702011,-76.397554948926,-110.958353616297,-65.4836185276508,-27.2848410531878,-50.931703299284,825.821189209819,476.575223729014,1.81898940354586,76.397554948926,29.1038304567337,34.5607986673713,61.8456397205591,1.81898940354586,1.81898940354586,25.465851649642,32.7418092638254,12.732925824821,-7.27595761418343,-5.45696821063757,0,-3.63797880709171,-1.81898940354586,0,0,-3.63797880709171
"x_female_2",-300.133251585066,5.45696821063757,5.45696821063757,92.7684595808387,49.1127138957381,18.1898940354586,-87.3114913702011,-87.3114913702011,-34.5607986673713,-58.2076609134674,-27.2848410531878,-14.5519152283669,-21.8278728425503,247.382558882236,150.976120494306,1.81898940354586,29.1038304567337,29.1038304567337,16.3709046319127,27.2848410531878,1.81898940354586,0,10.9139364212751,54.5696821063757,23.6468622460961,-7.27595761418343,0,0,-1.81898940354586,1.81898940354586,0,0,-1.81898940354586
"x_mayor45_2",-396.539689972997,-20.0088834390044,5.45696821063757,225.554686039686,120.053300634027,14.5519152283669,-76.397554948926,-34.5607986673713,-74.5785655453801,-34.5607986673713,-25.465851649642,-5.45696821063757,-18.1898940354586,407.453626394272,232.83064365387,1.81898940354586,36.3797880709171,18.1898940354586,36.3797880709171,25.465851649642,3.63797880709171,1.81898940354586,12.732925824821,25.465851649642,10.9139364212751,1.81898940354586,-3.63797880709171,-1.81898940354586,-1.81898940354586,-1.81898940354586,0,0,0
"x_underage_in_household_2",-409.272615797818,-27.2848410531878,7.27595761418343,371.073838323355,183.717929758132,20.0088834390044,-110.958353616297,-58.2076609134674,-34.5607986673713,-109.139364212751,-41.8367562815547,-12.732925824821,-23.6468622460961,678.483047522604,392.901711165905,1.81898940354586,63.664629124105,29.1038304567337,25.465851649642,63.664629124105,3.63797880709171,3.63797880709171,20.0088834390044,38.198777474463,16.3709046319127,-7.27595761418343,-1.81898940354586,3.63797880709171,0,0,0,0,0
"x_only_worker_2",-638.465280644596,-27.2848410531878,7.27595761418343,-147.338141687214,-52.7506927028298,10.9139364212751,-65.4836185276508,-27.2848410531878,-25.465851649642,-41.8367562815547,-65.4836185276508,-7.27595761418343,-12.732925824821,34.5607986673713,18.1898940354586,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,3.63797880709171,0,1.81898940354586,1.81898940354586,0,1.81898940354586,0,1.81898940354586,1.81898940354586,1.81898940354586,0,0,1.81898940354586
"x_university_2",-156.433088704944,-3.63797880709171,3.63797880709171,-23.6468622460961,7.27595761418343,7.27595761418343,-27.2848410531878,-14.5519152283669,-5.45696821063757,-12.732925824821,-7.27595761418343,-25.465851649642,-9.09494701772928,32.7418092638254,16.3709046319127,1.81898940354586,1.81898940354586,0,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,0,0,1.81898940354586,0,0,1.81898940354586,0,0,0,1.81898940354586
"x_metropolitana_2",-170.985003933311,-5.45696821063757,5.45696821063757,187.355908565223,92.7684595808387,9.09494701772928,-50.931703299284,-21.8278728425503,-18.1898940354586,-23.6468622460961,-12.732925824821,-9.09494701772928,-49.1127138957381,285.581336356699,169.166014529765,1.81898940354586,25.465851649642,10.9139364212751,10.9139364212751,20.0088834390044,1.81898940354586,1.81898940354586,27.2848410531878,-1.81898940354586,0,-1.81898940354586,-3.63797880709171,0,0,-1.81898940354586,0,0,-1.81898940354586
"PH_3",-1635.27147378772,-472.937244921923,-25.465851649642,-1591.61572810262,-603.904481977224,-109.139364212751,825.821189209819,247.382558882236,407.453626394272,678.483047522604,34.5607986673713,32.7418092638254,285.581336356699,-20618.2448891923,-12334.5671454445,-121.872290037572,-876.752892509103,-265.572452917695,-416.548573412001,-756.699591875076,-21.8278728425503,-18.1898940354586,-312.866177409887,92.7684595808387,63.664629124105,12.732925824821,147.338141687214,61.8456397205591,60.0266503170133,136.424205265939,0,0,63.664629124105
"theta_w_3",-722.138793207705,-251.020537689328,-10.9139364212751,-703.948899172246,-278.305378742516,-61.8456397205591,476.575223729014,150.976120494306,232.83064365387,392.901711165905,18.1898940354586,16.3709046319127,169.166014529765,-12334.5671454445,-7534.25410948694,-72.7595761418343,-500.222085975111,-163.709046319127,-232.83064365387,-436.557456851006,-12.732925824821,-9.09494701772928,-183.717929758132,100.044417195022,56.3886715099216,9.09494701772928,87.3114913702011,38.198777474463,34.5607986673713,81.8545231595635,0,0,40.0177668780088
"sigma_3",-47.2937244921923,-10.9139364212751,0,110.958353616297,50.931703299284,0,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,-121.872290037572,-72.7595761418343,-9.09494701772928,3.63797880709171,0,1.81898940354586,3.63797880709171,1.81898940354586,0,1.81898940354586,16.3709046319127,7.27595761418343,1.81898940354586,0,0,0,0,0,0,0
"asc_3",-189.174897968769,-47.2937244921923,0,-702.129909768701,-338.332029059529,-16.3709046319127,76.397554948926,29.1038304567337,36.3797880709171,63.664629124105,1.81898940354586,1.81898940354586,25.465851649642,-876.752892509103,-500.222085975111,3.63797880709171,-107.320374809206,-49.1127138957381,-43.6557456851006,-90.9494701772928,-1.81898940354586,-1.81898940354586,-38.198777474463,-81.8545231595635,-36.3797880709171,-1.81898940354586,32.7418092638254,20.0088834390044,10.9139364212751,29.1038304567337,0,0,14.5519152283669
"x_female_3",-70.9405867382884,-18.1898940354586,0,-307.40920919925,-147.338141687214,-9.09494701772928,29.1038304567337,29.1038304567337,18.1898940354586,29.1038304567337,1.81898940354586,0,10.9139364212751,-265.572452917695,-163.709046319127,0,-49.1127138957381,-49.1127138957381,-23.6468622460961,-45.4747350886464,0,-1.81898940354586,-20.0088834390044,-23.6468622460961,-10.9139364212751,-1.81898940354586,20.0088834390044,20.0088834390044,7.27595761418343,18.1898940354586,0,0,9.09494701772928
"x_mayor45_3",-78.2165443524718,-20.0088834390044,0,-296.495272777975,-143.700162880123,-5.45696821063757,34.5607986673713,16.3709046319127,36.3797880709171,25.465851649642,1.81898940354586,1.81898940354586,10.9139364212751,-416.548573412001,-232.83064365387,1.81898940354586,-43.6557456851006,-23.6468622460961,-43.6557456851006,-32.7418092638254,0,0,-14.5519152283669,-30.9228198602796,-14.5519152283669,0,10.9139364212751,7.27595761418343,10.9139364212751,9.09494701772928,0,0,5.45696821063757
"x_underage_in_household_3",-123.691279441118,-30.9228198602796,0,-536.601874046028,-256.477505899966,-12.732925824821,61.8456397205591,27.2848410531878,25.465851649642,63.664629124105,1.81898940354586,1.81898940354586,20.0088834390044,-756.699591875076,-436.557456851006,3.63797880709171,-90.9494701772928,-45.4747350886464,-32.7418092638254,-90.9494701772928,-1.81898940354586,-1.81898940354586,-30.9228198602796,-69.1215973347425,-30.9228198602796,-1.81898940354586,29.1038304567337,18.1898940354586,9.09494701772928,29.1038304567337,0,0,12.732925824821
"x_only_worker_3",-69.1215973347425,-9.09494701772928,1.81898940354586,-36.3797880709171,-12.732925824821,0,1.81898940354586,1.81898940354586,3.63797880709171,3.63797880709171,3.63797880709171,1.81898940354586,1.81898940354586,-21.8278728425503,-12.732925824821,1.81898940354586,-1.81898940354586,0,0,-1.81898940354586,0,0,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,0,0,1.81898940354586
"x_university_3",-7.27595761418343,-3.63797880709171,0,-49.1127138957381,-23.6468622460961,-1.81898940354586,1.81898940354586,0,1.81898940354586,3.63797880709171,0,1.81898940354586,1.81898940354586,-18.1898940354586,-9.09494701772928,0,-1.81898940354586,-1.81898940354586,0,-1.81898940354586,0,-1.81898940354586,0,0,0,0,0,0,0,0,0,0,0
"x_metropolitana_3",-65.4836185276508,-18.1898940354586,0,-231.011654250324,-110.958353616297,-3.63797880709171,25.465851649642,10.9139364212751,12.732925824821,20.0088834390044,1.81898940354586,1.81898940354586,27.2848410531878,-312.866177409887,-183.717929758132,1.81898940354586,-38.198777474463,-20.0088834390044,-14.5519152283669,-30.9228198602796,1.81898940354586,0,-38.198777474463,-30.9228198602796,-14.5519152283669,0,14.5519152283669,9.09494701772928,5.45696821063757,12.732925824821,0,0,16.3709046319127
"PH_4",-20.0088834390044,-16.3709046319127,1.81898940354586,-1853.55020221323,-960.426405072212,29.1038304567337,32.7418092638254,54.5696821063757,25.465851649642,38.198777474463,1.81898940354586,0,-1.81898940354586,92.7684595808387,100.044417195022,16.3709046319127,-81.8545231595635,-23.6468622460961,-30.9228198602796,-69.1215973347425,1.81898940354586,0,-30.9228198602796,-6000.84604229778,-2542.94718615711,92.7684595808387,47.2937244921923,-34.5607986673713,7.27595761418343,29.1038304567337,0,0,40.0177668780088
"theta_w_4",-9.09494701772928,-7.27595761418343,0,-865.838956087828,-462.023308500648,16.3709046319127,12.732925824821,23.6468622460961,10.9139364212751,16.3709046319127,0,0,0,63.664629124105,56.3886715099216,7.27595761418343,-36.3797880709171,-10.9139364212751,-14.5519152283669,-30.9228198602796,1.81898940354586,0,-14.5519152283669,-2542.94718615711,-1104.12656795233,36.3797880709171,23.6468622460961,-14.5519152283669,5.45696821063757,14.5519152283669,0,0,18.1898940354586
"sigma_4",0,1.81898940354586,1.81898940354586,21.8278728425503,12.732925824821,0,-7.27595761418343,-7.27595761418343,1.81898940354586,-7.27595761418343,1.81898940354586,1.81898940354586,-1.81898940354586,12.732925824821,9.09494701772928,1.81898940354586,-1.81898940354586,-1.81898940354586,0,-1.81898940354586,1.81898940354586,0,0,92.7684595808387,36.3797880709171,-16.3709046319127,12.732925824821,10.9139364212751,3.63797880709171,12.732925824821,0,0,5.45696821063757
"asc_4",-1.81898940354586,3.63797880709171,0,143.700162880123,103.682396002114,10.9139364212751,-5.45696821063757,0,-3.63797880709171,-1.81898940354586,0,0,-3.63797880709171,147.338141687214,87.3114913702011,0,32.7418092638254,20.0088834390044,10.9139364212751,29.1038304567337,1.81898940354586,0,14.5519152283669,47.2937244921923,23.6468622460961,12.732925824821,-40.0177668780088,-29.1038304567337,-9.09494701772928,-30.9228198602796,0,0,-12.732925824821
"x_female_4",-1.81898940354586,1.81898940354586,0,87.3114913702011,65.4836185276508,7.27595761418343,0,0,-1.81898940354586,3.63797880709171,1.81898940354586,0,0,61.8456397205591,38.198777474463,0,20.0088834390044,20.0088834390044,7.27595761418343,18.1898940354586,1.81898940354586,0,9.09494701772928,-34.5607986673713,-14.5519152283669,10.9139364212751,-29.1038304567337,-29.1038304567337,-5.45696821063757,-25.465851649642,0,0,-9.09494701772928
"x_mayor45_4",-1.81898940354586,1.81898940354586,1.81898940354586,36.3797880709171,27.2848410531878,3.63797880709171,-3.63797880709171,-1.81898940354586,-1.81898940354586,0,1.81898940354586,1.81898940354586,0,60.0266503170133,34.5607986673713,0,10.9139364212751,7.27595761418343,10.9139364212751,9.09494701772928,1.81898940354586,0,5.45696821063757,7.27595761418343,5.45696821063757,3.63797880709171,-9.09494701772928,-5.45696821063757,-7.27595761418343,-5.45696821063757,0,0,-1.81898940354586
"x_underage_in_household_4",-1.81898940354586,1.81898940354586,0,78.2165443524718,58.2076609134674,7.27595761418343,-1.81898940354586,1.81898940354586,-1.81898940354586,0,1.81898940354586,0,-1.81898940354586,136.424205265939,81.8545231595635,0,29.1038304567337,18.1898940354586,9.09494701772928,29.1038304567337,1.81898940354586,0,12.732925824821,29.1038304567337,14.5519152283669,12.732925824821,-30.9228198602796,-25.465851649642,-5.45696821063757,-30.9228198602796,0,0,-9.09494701772928
"x_only_worker_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x_university_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x_metropolitana_4",1.81898940354586,1.81898940354586,1.81898940354586,50.931703299284,36.3797880709171,3.63797880709171,-3.63797880709171,-1.81898940354586,0,0,1.81898940354586,1.81898940354586,-1.81898940354586,63.664629124105,40.0177668780088,0,14.5519152283669,9.09494701772928,5.45696821063757,12.732925824821,1.81898940354586,0,16.3709046319127,40.0177668780088,18.1898940354586,5.45696821063757,-12.732925824821,-9.09494701772928,-1.81898940354586,-9.09494701772928,0,0,-12.732925824821
